date,stock_code,prediction,pred_rank
2023-09-13,600000.SH,0.003231198,6
2023-09-13,600028.SH,-0.0011271341,24
2023-09-13,600030.SH,0.0044320105,4
2023-09-13,600031.SH,-0.0021008751,30
2023-09-13,600036.SH,-0.0029171007,35
2023-09-13,600050.SH,-0.0016074425,28
2023-09-13,600104.SH,0.004898956,3
2023-09-13,600276.SH,0.0013148478,17
2023-09-13,600309.SH,-0.0010178227,23
2023-09-13,600438.SH,-0.0018009555,29
2023-09-13,600519.SH,0.0016754864,16
2023-09-13,600585.SH,0.002099165,14
2023-09-13,600690.SH,-0.004414851,39
2023-09-13,600809.SH,-0.010174528,45
2023-09-13,600887.SH,0.0028903335,10
2023-09-13,600900.SH,0.0030528652,7
2023-09-13,601012.SH,-0.005234499,41
2023-09-13,601138.SH,-0.011084793,48
2023-09-13,601166.SH,0.0023410912,13
2023-09-13,601225.SH,-0.0024300492,31
2023-09-13,601288.SH,0.0063168905,2
2023-09-13,601318.SH,-0.0025686473,33
2023-09-13,601398.SH,0.0029879767,8
2023-09-13,601601.SH,-0.010611412,47
2023-09-13,601668.SH,0.0012010386,18
2023-09-13,601857.SH,-0.0012983084,25
2023-09-13,601888.SH,0.0023585667,12
2023-09-13,601899.SH,-0.0015854847,27
2023-09-13,601919.SH,-0.0013171645,26
2023-09-13,601939.SH,0.0023694867,11
2023-09-20,000001.SZ,0.00016012971,19
2023-09-20,000002.SZ,0.0013169855,14
2023-09-20,000333.SZ,-0.0020731895,38
2023-09-20,000568.SZ,-0.00040472645,27
2023-09-20,000651.SZ,-0.0031021258,44
2023-09-20,000725.SZ,0.0035880595,8
2023-09-20,000858.SZ,-0.0029694648,42
2023-09-20,002027.SZ,0.0062794248,3
2023-09-20,002142.SZ,0.0009191206,17
2023-09-20,002230.SZ,-0.0067186817,47
2023-09-20,002304.SZ,-0.0024765995,39
2023-09-20,002352.SZ,-0.008016459,48
2023-09-20,002415.SZ,0.0044541736,7
2023-09-20,002475.SZ,0.0062512695,4
2023-09-20,002594.SZ,-4.5672277e-06,22
2023-09-20,002714.SZ,0.000102410704,20
2023-09-20,300015.SZ,0.010641582,1
2023-09-20,300059.SZ,0.0013070706,15
2023-09-20,300750.SZ,-0.00019408221,24
2023-09-20,300760.SZ,-0.012903241,49
2023-09-20,600000.SH,0.005116788,6
2023-09-20,600028.SH,-0.0020602064,37
